No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,season,CO/10
40,2013,3,2,15,31.0,32.0,25.0,48.0,900.0,53.0,3.9,1024.1,-16.5,0.0,WNW,1.2,Guanyuan,Musim Gugur,90.0
41,2013,3,2,16,33.0,46.0,42.0,60.0,1200.0,44.0,3.5,1023.6,-15.2,0.0,WSW,2.5,Guanyuan,Musim Gugur,120.0
42,2013,3,2,17,45.0,62.0,47.0,66.0,1100.0,38.0,2.2,1023.4,-13.6,0.0,SSE,0.4,Guanyuan,Musim Gugur,110.0
43,2013,3,2,18,52.0,71.0,52.0,72.0,1100.0,31.0,1.2,1023.2,-12.3,0.0,W,0.9,Guanyuan,Musim Gugur,110.0
44,2013,3,2,19,58.0,83.0,56.0,88.0,1200.0,16.0,1.5,1022.9,-13.8,0.0,NE,1.2,Guanyuan,Musim Gugur,120.0
45,2013,3,2,20,67.0,90.0,57.0,100.0,1399.0,5.0,1.2,1022.9,-14.1,0.0,NNE,1.2,Guanyuan,Musim Gugur,139.9
46,2013,3,2,21,79.0,98.0,57.0,106.0,1700.0,2.0,0.6,1022.6,-14.2,0.0,NE,1.3,Guanyuan,Musim Gugur,170.0
47,2013,3,2,22,86.0,102.0,51.0,108.0,1899.0,2.0,-0.6,1022.3,-13.9,0.0,NNE,1.4,Guanyuan,Musim Gugur,189.9
48,2013,3,2,23,79.0,88.0,50.0,104.0,1700.0,2.0,-0.8,1021.1,-13.4,0.0,N,1.3,Guanyuan,Musim Gugur,170.0
49,2013,3,3,0,77.0,93.0,69.0,106.0,1899.0,2.0,-1.4,1020.4,-13.0,0.0,NNE,1.2,Guanyuan,Musim Gugur,189.9
50,2013,3,3,1,93.0,104.0,92.0,106.0,2399.0,2.0,-2.0,1019.4,-13.2,0.0,NE,1.2,Guanyuan,Musim Gugur,239.9
51,2013,3,3,2,103.0,113.0,122.0,106.0,3200.0,2.0,-2.8,1018.3,-12.3,0.0,NE,1.4,Guanyuan,Musim Gugur,320.0
52,2013,3,3,3,113.0,126.0,131.0,105.0,2600.0,2.0,-2.6,1017.2,-13.2,0.0,NE,1.2,Guanyuan,Musim Gugur,260.0
53,2013,3,3,4,98.0,104.0,116.0,100.0,2200.0,2.0,-4.3,1016.9,-11.8,0.0,NNE,0.9,Guanyuan,Musim Gugur,220.0
54,2013,3,3,5,86.0,95.0,80.0,96.0,2399.0,2.0,-5.6,1016.3,-10.9,0.0,N,0.8,Guanyuan,Musim Gugur,239.9
55,2013,3,3,6,83.0,94.0,62.0,97.0,2600.0,2.0,-5.8,1016.2,-11.0,0.0,NNE,0.8,Guanyuan,Musim Gugur,260.0
56,2013,3,3,7,82.0,100.0,75.0,100.0,2500.0,2.0,-3.1,1016.5,-11.1,0.0,NE,1.5,Guanyuan,Musim Gugur,250.0
57,2013,3,3,8,79.0,102.0,78.0,98.0,2600.0,2.0,0.7,1016.2,-13.0,0.0,NNE,2.3,Guanyuan,Musim Gugur,260.0
58,2013,3,3,9,82.0,115.0,131.0,102.0,2700.0,3.0,3.5,1015.8,-13.8,0.0,NNE,0.4,Guanyuan,Musim Gugur,270.0
59,2013,3,3,10,90.0,124.0,161.0,104.0,2500.0,7.0,6.5,1014.9,-13.2,0.0,N,1.3,Guanyuan,Musim Gugur,250.0
60,2013,3,3,11,98.0,123.0,130.0,111.0,2600.0,10.0,11.4,1013.8,-10.8,0.0,ESE,0.9,Guanyuan,Musim Gugur,260.0
61,2013,3,3,12,104.0,143.0,90.0,116.0,2500.0,15.0,13.8,1012.5,-13.3,0.0,W,1.1,Guanyuan,Musim Gugur,250.0
62,2013,3,3,13,92.0,133.0,42.0,87.0,1500.0,32.0,16.0,1011.5,-13.5,0.0,W,5.9,Guanyuan,Musim Gugur,150.0
63,2013,3,3,14,74.0,102.0,19.0,52.0,900.0,58.0,16.7,1010.8,-14.0,0.0,WNW,4.3,Guanyuan,Musim Gugur,90.0
64,2013,3,3,15,47.0,109.0,6.0,24.0,400.0,78.0,16.9,1010.5,-12.7,0.0,WNW,2.0,Guanyuan,Musim Gugur,40.0
65,2013,3,3,16,22.0,88.0,22.0,54.0,800.0,67.0,16.4,1010.6,-15.4,0.0,NW,2.9,Guanyuan,Musim Gugur,80.0
66,2013,3,3,17,52.0,121.0,34.0,79.0,1100.0,52.0,13.1,1011.1,-10.1,0.0,WSW,1.7,Guanyuan,Musim Gugur,110.0
67,2013,3,3,18,65.0,135.0,42.0,99.0,1399.0,35.0,8.7,1012.3,-11.3,0.0,NW,1.6,Guanyuan,Musim Gugur,139.9
68,2013,3,3,19,92.0,187.0,67.0,146.0,2100.0,6.0,12.2,1013.4,-13.7,0.0,NNW,2.0,Guanyuan,Musim Gugur,210.0
69,2013,3,3,20,138.0,234.0,60.0,144.0,2399.0,2.0,11.7,1013.5,-12.6,0.0,N,0.9,Guanyuan,Musim Gugur,239.9
70,2013,3,3,21,143.0,216.0,14.0,95.0,1300.0,8.0,5.3,1013.6,-10.9,0.0,N,0.0,Guanyuan,Musim Gugur,130.0
71,2013,3,3,22,13.0,47.0,9.0,93.0,1100.0,3.0,3.1,1014.1,-10.2,0.0,NNE,1.8,Guanyuan,Musim Gugur,110.0
72,2013,3,3,23,30.0,50.0,9.0,95.0,1500.0,2.0,5.2,1014.8,-10.6,0.0,NNW,1.7,Guanyuan,Musim Gugur,150.0
73,2013,3,4,0,28.0,48.0,22.0,94.0,1700.0,2.0,7.7,1015.7,-11.1,0.0,N,2.6,Guanyuan,Musim Gugur,170.0
74,2013,3,4,1,35.0,50.0,41.0,79.0,1100.0,11.0,8.2,1016.7,-11.7,0.0,N,2.8,Guanyuan,Musim Gugur,110.0
75,2013,3,4,2,26.0,50.0,15.0,31.0,500.0,53.0,8.1,1016.7,-11.8,0.0,N,4.3,Guanyuan,Musim Gugur,50.0
76,2013,3,4,3,8.0,28.0,6.0,26.0,400.0,61.0,7.2,1016.9,-11.6,0.0,N,2.8,Guanyuan,Musim Gugur,40.0
77,2013,3,4,4,4.0,20.0,13.0,33.0,400.0,49.0,6.0,1018.0,-11.6,0.0,NNW,1.0,Guanyuan,Musim Gugur,40.0
78,2013,3,4,5,6.0,25.0,16.0,26.0,400.0,54.0,2.7,1018.6,-10.9,0.0,SSE,0.5,Guanyuan,Musim Gugur,40.0
79,2013,3,4,6,10.0,26.0,18.0,39.0,600.0,40.0,3.8,1018.9,-11.4,0.0,N,2.3,Guanyuan,Musim Gugur,60.0
80,2013,3,4,7,7.0,22.0,23.0,67.0,800.0,16.0,6.5,1019.7,-10.7,0.0,N,2.3,Guanyuan,Musim Gugur,80.0
81,2013,3,4,8,10.0,28.0,27.0,67.0,800.0,20.0,9.0,1020.7,-12.2,0.0,NE,3.1,Guanyuan,Musim Gugur,80.0
82,2013,3,4,9,13.0,29.0,32.0,52.0,700.0,37.0,10.6,1020.8,-12.1,0.0,NNE,1.3,Guanyuan,Musim Gugur,70.0
83,2013,3,4,10,10.0,22.0,12.0,31.0,500.0,62.0,11.9,1020.4,-12.4,0.0,NE,2.1,Guanyuan,Musim Gugur,50.0
84,2013,3,4,11,9.0,14.0,11.0,31.0,500.0,67.0,13.1,1020.0,-13.0,0.0,NE,3.0,Guanyuan,Musim Gugur,50.0
85,2013,3,4,12,9.0,25.0,12.0,28.0,400.0,73.0,14.2,1018.9,-13.9,0.0,N,2.7,Guanyuan,Musim Gugur,40.0
86,2013,3,4,13,15.0,18.0,8.0,22.0,400.0,80.0,15.3,1017.8,-13.0,0.0,S,2.0,Guanyuan,Musim Gugur,40.0
87,2013,3,4,14,3.0,10.0,3.0,18.0,300.0,88.0,15.2,1017.0,-13.1,0.0,SW,0.7,Guanyuan,Musim Gugur,30.0
88,2013,3,4,15,6.0,8.0,6.0,31.0,400.0,76.0,15.3,1016.3,-13.0,0.0,SSW,2.4,Guanyuan,Musim Gugur,40.0
89,2013,3,4,16,3.0,6.0,10.0,35.0,400.0,84.0,14.5,1015.7,-13.7,0.0,S,2.6,Guanyuan,Musim Gugur,40.0
90,2013,3,4,17,3.0,100.0,7.0,41.0,400.0,95.0,12.7,1015.9,-11.8,0.0,SW,2.6,Guanyuan,Musim Gugur,40.0
91,2013,3,4,18,17.0,70.0,9.0,51.0,500.0,80.0,11.6,1016.5,-11.3,0.0,SSW,3.4,Guanyuan,Musim Gugur,50.0
92,2013,3,4,19,27.0,58.0,14.0,70.0,600.0,58.0,10.9,1016.6,-10.6,0.0,SW,3.5,Guanyuan,Musim Gugur,60.0
93,2013,3,4,20,36.0,75.0,21.0,79.0,600.0,46.0,9.9,1016.9,-10.3,0.0,SSW,3.1,Guanyuan,Musim Gugur,60.0
94,2013,3,4,21,41.0,78.0,45.0,87.0,700.0,37.0,8.4,1016.9,-10.0,0.0,SSW,2.1,Guanyuan,Musim Gugur,70.0
95,2013,3,4,22,53.0,94.0,66.0,98.0,900.0,24.0,8.6,1016.3,-9.9,0.0,SSW,2.4,Guanyuan,Musim Gugur,90.0
96,2013,3,4,23,59.0,103.0,48.0,96.0,1000.0,95.0,7.7,1015.7,-9.3,0.0,SW,2.1,Guanyuan,Musim Gugur,100.0
97,2013,3,5,0,70.0,102.0,57.0,90.0,1200.0,95.0,4.7,1015.2,-9.1,0.0,SW,1.6,Guanyuan,Musim Gugur,120.0
98,2013,3,5,1,93.0,116.0,76.0,81.0,1300.0,95.0,1.1,1014.7,-7.9,0.0,SW,0.0,Guanyuan,Musim Gugur,130.0
99,2013,3,5,2,108.0,135.0,78.0,88.0,1399.0,95.0,-0.6,1014.4,-8.1,0.0,S,0.0,Guanyuan,Musim Gugur,139.9
100,2013,3,5,3,116.0,143.0,88.0,84.0,1500.0,95.0,0.2,1014.0,-8.8,0.0,NE,1.2,Guanyuan,Musim Gugur,150.0
101,2013,3,5,4,121.0,137.0,79.0,90.0,1700.0,95.0,1.8,1013.7,-9.5,0.0,NE,1.5,Guanyuan,Musim Gugur,170.0
102,2013,3,5,5,121.0,138.0,69.0,97.0,2299.0,95.0,0.6,1013.9,-9.4,0.0,N,0.8,Guanyuan,Musim Gugur,229.9
103,2013,3,5,6,111.0,146.0,84.0,101.0,2700.0,95.0,-0.2,1013.4,-8.6,0.0,NE,1.3,Guanyuan,Musim Gugur,270.0
104,2013,3,5,7,100.0,130.0,85.0,98.0,3000.0,95.0,2.9,1013.4,-9.1,0.0,NNE,1.3,Guanyuan,Musim Gugur,300.0
105,2013,3,5,8,98.0,136.0,78.0,97.0,3000.0,95.0,5.1,1013.4,-9.1,0.0,NNE,1.2,Guanyuan,Musim Gugur,300.0
106,2013,3,5,9,106.0,168.0,87.0,97.0,2600.0,95.0,7.7,1012.8,-8.4,0.0,NNE,1.5,Guanyuan,Musim Gugur,260.0
107,2013,3,5,10,111.0,142.0,84.0,100.0,2399.0,95.0,9.4,1012.0,-8.2,0.0,NE,1.5,Guanyuan,Musim Gugur,239.9
108,2013,3,5,11,119.0,141.0,84.0,104.0,2200.0,95.0,10.6,1011.1,-8.1,0.0,NNE,1.4,Guanyuan,Musim Gugur,220.0
109,2013,3,5,12,129.0,154.0,84.0,118.0,2100.0,31.0,11.9,1009.7,-7.5,0.0,NNW,1.3,Guanyuan,Musim Gugur,210.0
110,2013,3,5,13,135.0,152.0,74.0,126.0,2000.0,95.0,12.6,1008.5,-8.0,0.0,N,1.0,Guanyuan,Musim Gugur,200.0
111,2013,3,5,14,128.0,139.0,69.0,145.0,2200.0,95.0,13.5,1007.7,-7.8,0.0,NNE,1.4,Guanyuan,Musim Gugur,220.0
112,2013,3,5,15,152.0,152.0,67.0,166.0,2399.0,95.0,13.8,1007.2,-7.6,0.0,NE,1.2,Guanyuan,Musim Gugur,239.9
113,2013,3,5,16,158.0,158.0,77.0,190.0,2700.0,95.0,13.2,1007.1,-7.0,0.0,NE,2.0,Guanyuan,Musim Gugur,270.0
114,2013,3,5,17,178.0,189.0,86.0,206.0,3000.0,80.0,12.1,1007.7,-6.4,0.0,NNE,1.6,Guanyuan,Musim Gugur,300.0
115,2013,3,5,18,196.0,216.0,96.0,197.0,2700.0,58.0,9.0,1008.2,-5.7,0.0,NE,1.4,Guanyuan,Musim Gugur,270.0
116,2013,3,5,19,200.0,224.0,93.0,194.0,2899.0,46.0,5.3,1008.5,-4.8,0.0,ESE,0.0,Guanyuan,Musim Gugur,289.9
117,2013,3,5,20,201.0,224.0,94.0,189.0,2899.0,39.0,3.3,1008.7,-4.7,0.0,N,0.2,Guanyuan,Musim Gugur,289.9
118,2013,3,5,21,207.0,224.0,89.0,189.0,3500.0,39.0,2.9,1009.0,-4.6,0.0,NNE,1.2,Guanyuan,Musim Gugur,350.0
119,2013,3,5,22,215.0,236.0,100.0,192.0,3700.0,39.0,5.2,1008.9,-6.1,0.0,NE,1.1,Guanyuan,Musim Gugur,370.0
120,2013,3,5,23,215.0,227.0,123.0,195.0,4200.0,39.0,4.9,1008.4,-6.1,0.0,NE,1.4,Guanyuan,Musim Gugur,420.0
121,2013,3,6,0,230.0,248.0,136.0,188.0,4700.0,39.0,4.9,1008.5,-6.4,0.0,NE,1.2,Guanyuan,Musim Gugur,470.0
122,2013,3,6,1,244.0,264.0,119.0,172.0,4200.0,39.0,4.8,1008.3,-5.9,0.0,NE,1.5,Guanyuan,Musim Gugur,420.0
123,2013,3,6,2,176.0,222.0,2.0,158.0,3500.0,39.0,4.1,1007.8,-5.9,0.0,NE,1.9,Guanyuan,Musim Gugur,350.0
124,2013,3,6,3,160.0,189.0,102.0,160.0,400.0,39.0,4.0,1007.6,-6.3,0.0,NE,1.9,Guanyuan,Musim Gugur,40.0
125,2013,3,6,4,194.0,204.0,89.0,28.0,3100.0,39.0,3.9,1007.3,-6.1,0.0,NE,1.4,Guanyuan,Musim Gugur,310.0
126,2013,3,6,5,186.0,194.0,111.0,154.0,3299.0,39.0,4.1,1007.8,-5.7,0.0,NE,1.6,Guanyuan,Musim Gugur,329.9
127,2013,3,6,6,163.0,186.0,115.0,160.0,3299.0,39.0,4.5,1008.4,-5.3,0.0,NE,2.0,Guanyuan,Musim Gugur,329.9
128,2013,3,6,7,158.0,188.0,100.0,153.0,3399.0,39.0,5.7,1009.3,-5.0,0.0,NE,1.7,Guanyuan,Musim Gugur,339.9
129,2013,3,6,8,192.0,204.0,115.0,135.0,2899.0,39.0,6.6,1009.3,-4.8,0.0,NE,1.7,Guanyuan,Musim Gugur,289.9
130,2013,3,6,9,191.0,225.0,102.0,120.0,2500.0,39.0,7.5,1009.1,-4.6,0.0,NE,1.7,Guanyuan,Musim Gugur,250.0
131,2013,3,6,10,178.0,182.0,105.0,117.0,2399.0,39.0,8.7,1008.6,-4.5,0.0,NE,1.5,Guanyuan,Musim Gugur,239.9
132,2013,3,6,11,176.0,181.0,112.0,118.0,2399.0,39.0,10.1,1007.7,-4.7,0.0,NE,1.4,Guanyuan,Musim Gugur,239.9
133,2013,3,6,12,185.0,195.0,131.0,135.0,3100.0,39.0,11.1,1006.9,-4.2,0.0,ENE,0.4,Guanyuan,Musim Gugur,310.0
134,2013,3,6,13,208.0,225.0,134.0,150.0,3500.0,36.0,12.6,1005.8,-3.7,0.0,WSW,1.5,Guanyuan,Musim Gugur,350.0
135,2013,3,6,14,218.0,245.0,130.0,157.0,3399.0,25.0,14.5,1005.5,-3.3,0.0,SSE,1.6,Guanyuan,Musim Gugur,339.9
136,2013,3,6,15,232.0,256.0,146.0,158.0,3299.0,18.0,14.7,1005.5,-3.2,0.0,SSW,2.5,Guanyuan,Musim Gugur,329.9
137,2013,3,6,16,228.0,248.0,139.0,173.0,3500.0,12.0,14.2,1005.5,-3.2,0.0,S,1.4,Guanyuan,Musim Gugur,350.0
138,2013,3,6,17,226.0,252.0,151.0,173.0,3500.0,12.0,11.6,1005.9,-3.4,0.0,SSW,1.1,Guanyuan,Musim Gugur,350.0
139,2013,3,6,18,228.0,277.0,145.0,164.0,3200.0,12.0,6.8,1006.8,-2.9,0.0,WSW,0.9,Guanyuan,Musim Gugur,320.0
140,2013,3,6,19,225.0,265.0,148.0,171.0,3399.0,12.0,5.1,1007.6,-2.5,0.0,WSW,1.2,Guanyuan,Musim Gugur,339.9
141,2013,3,6,20,231.0,270.0,140.0,169.0,3700.0,12.0,4.4,1008.2,-2.5,0.0,SSW,1.1,Guanyuan,Musim Gugur,370.0
142,2013,3,6,21,236.0,266.0,156.0,162.0,3600.0,12.0,3.8,1007.7,-2.2,0.0,WSW,1.9,Guanyuan,Musim Gugur,360.0
143,2013,3,6,22,231.0,262.0,158.0,159.0,3700.0,12.0,2.4,1007.3,-2.5,0.0,WSW,1.2,Guanyuan,Musim Gugur,370.0
144,2013,3,6,23,238.0,266.0,149.0,156.0,4200.0,12.0,2.3,1007.2,-2.4,0.0,NNE,1.3,Guanyuan,Musim Gugur,420.0
145,2013,3,7,0,242.0,275.0,145.0,151.0,4099.0,12.0,1.5,1007.1,-2.6,0.0,NNE,0.8,Guanyuan,Musim Gugur,409.9
146,2013,3,7,1,246.0,281.0,140.0,148.0,3899.0,12.0,0.7,1007.1,-2.7,0.0,SE,1.2,Guanyuan,Musim Gugur,389.9
147,2013,3,7,2,236.0,264.0,133.0,140.0,3600.0,12.0,1.5,1006.9,-2.5,0.0,NNE,0.6,Guanyuan,Musim Gugur,360.0
148,2013,3,7,3,224.0,260.0,122.0,132.0,3600.0,12.0,0.3,1006.5,-2.7,0.0,WNW,1.7,Guanyuan,Musim Gugur,360.0
149,2013,3,7,4,221.0,254.0,99.0,122.0,3500.0,12.0,-0.9,1006.4,-3.3,0.0,N,0.5,Guanyuan,Musim Gugur,350.0
150,2013,3,7,5,218.0,232.0,79.0,116.0,3700.0,12.0,1.6,1006.7,-1.5,0.0,NNE,1.7,Guanyuan,Musim Gugur,370.0
151,2013,3,7,6,214.0,222.0,70.0,116.0,4299.0,12.0,0.3,1006.6,-2.7,0.0,SW,0.4,Guanyuan,Musim Gugur,429.9
152,2013,3,7,7,220.0,246.0,66.0,124.0,5400.0,12.0,2.4,1006.8,-1.4,0.0,NNE,1.5,Guanyuan,Musim Gugur,540.0
153,2013,3,7,8,237.0,250.0,80.0,157.0,6799.0,12.0,8.3,1006.5,-1.0,0.0,NNE,0.8,Guanyuan,Musim Gugur,679.9
154,2013,3,7,9,262.0,342.0,140.0,184.0,5900.0,12.0,10.1,1006.1,-0.7,0.0,W,0.6,Guanyuan,Musim Gugur,590.0
155,2013,3,7,10,278.0,333.0,141.0,199.0,5000.0,12.0,12.7,1005.5,-1.6,0.0,ENE,1.2,Guanyuan,Musim Gugur,500.0
156,2013,3,7,11,280.0,299.0,127.0,233.0,5299.0,12.0,16.5,1003.6,-1.6,0.0,WSW,1.7,Guanyuan,Musim Gugur,529.9
157,2013,3,7,12,289.0,328.0,109.0,270.0,5700.0,12.0,17.1,1001.6,-3.1,0.0,SSW,3.7,Guanyuan,Musim Gugur,570.0
158,2013,3,7,13,297.0,344.0,92.0,204.0,3700.0,29.0,17.7,1000.2,-3.2,0.0,SW,3.1,Guanyuan,Musim Gugur,370.0
159,2013,3,7,14,252.0,254.0,88.0,142.0,3000.0,72.0,18.3,998.6,-3.2,0.0,SSW,3.6,Guanyuan,Musim Gugur,300.0
160,2013,3,7,15,264.0,282.0,56.0,89.0,2100.0,96.0,18.6,997.6,-1.8,0.0,SSW,3.3,Guanyuan,Musim Gugur,210.0
161,2013,3,7,16,230.0,230.0,48.0,74.0,1700.0,107.0,17.9,997.2,-0.9,0.0,SW,1.9,Guanyuan,Musim Gugur,170.0
162,2013,3,7,17,192.0,205.0,63.0,96.0,1899.0,107.0,15.4,997.1,-1.7,0.0,NNW,1.4,Guanyuan,Musim Gugur,189.9
163,2013,3,7,18,205.0,242.0,63.0,122.0,2000.0,107.0,14.4,997.4,-2.5,0.0,N,1.9,Guanyuan,Musim Gugur,200.0
164,2013,3,7,19,197.0,235.0,57.0,163.0,2500.0,18.0,13.4,997.9,-2.6,0.0,NNE,1.5,Guanyuan,Musim Gugur,250.0
165,2013,3,7,20,197.0,247.0,82.0,218.0,3399.0,107.0,11.8,997.7,-2.1,0.0,NE,1.5,Guanyuan,Musim Gugur,339.9
166,2013,3,7,21,263.0,309.0,137.0,226.0,4099.0,107.0,9.2,997.9,-1.3,0.0,NNE,1.4,Guanyuan,Musim Gugur,409.9
167,2013,3,7,22,319.0,375.0,123.0,226.0,4700.0,107.0,7.5,998.3,-1.2,0.0,NE,1.3,Guanyuan,Musim Gugur,470.0
168,2013,3,7,23,369.0,414.0,109.0,221.0,4900.0,107.0,6.6,998.4,-0.9,0.0,E,0.1,Guanyuan,Musim Gugur,490.0
169,2013,3,8,0,358.0,372.0,118.0,214.0,4200.0,107.0,4.1,998.2,-1.3,0.0,ESE,0.0,Guanyuan,Musim Gugur,420.0
170,2013,3,8,1,353.0,368.0,107.0,197.0,4099.0,107.0,3.3,998.5,-1.7,0.0,N,0.9,Guanyuan,Musim Gugur,409.9
171,2013,3,8,2,351.0,361.0,87.0,192.0,4599.0,107.0,2.5,998.2,-1.9,0.0,SW,0.8,Guanyuan,Musim Gugur,459.9
172,2013,3,8,3,335.0,337.0,81.0,192.0,4799.0,107.0,1.8,997.9,-1.8,0.0,N,0.0,Guanyuan,Musim Gugur,479.9
173,2013,3,8,4,273.0,308.0,75.0,175.0,4200.0,107.0,1.3,998.5,-1.8,0.0,W,1.0,Guanyuan,Musim Gugur,420.0
